[0.000000] (-) TimerEvent: {}
[0.000439] (-) JobUnselected: {'identifier': 'examples_rclcpp_cbg_executor'}
[0.000515] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_client'}
[0.000706] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_action_server'}
[0.000763] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_client'}
[0.000824] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_composition'}
[0.000856] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_publisher'}
[0.000871] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_service'}
[0.000884] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_subscriber'}
[0.000897] (-) JobUnselected: {'identifier': 'examples_rclcpp_minimal_timer'}
[0.000910] (-) JobUnselected: {'identifier': 'examples_rclcpp_multithreaded_executor'}
[0.000922] (-) JobUnselected: {'identifier': 'examples_rclpy_executors'}
[0.000935] (-) JobUnselected: {'identifier': 'examples_rclpy_guard_conditions'}
[0.000948] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_client'}
[0.000961] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_action_server'}
[0.000974] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_client'}
[0.000986] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_publisher'}
[0.000999] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_service'}
[0.001011] (-) JobUnselected: {'identifier': 'examples_rclpy_minimal_subscriber'}
[0.001024] (-) JobUnselected: {'identifier': 'examples_rclpy_pointcloud_publisher'}
[0.001037] (-) JobUnselected: {'identifier': 'my_package'}
[0.001050] (-) JobUnselected: {'identifier': 'py_pubsub'}
[0.001062] (-) JobUnselected: {'identifier': 'turtlesim'}
[0.001075] (-) EventReactorShutdown: {}
